
央视,#genre#
优优宝贝,http://150.138.8.143/00/SNM/CHANNEL00000641/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000672/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL10000672/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
重温经典影视,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
重温经典影视,http://150.138.8.143/00/SNM/CHANNEL20000003/index.m3u8
居家购物,http://150.138.8.143/00/SNM/CHANNEL00000700/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000061/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
青岛QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
青岛QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
青岛QTV-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
青岛QTV-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
青岛QTV-5,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
烟台新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
潍坊新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊经济生活,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
潍坊公共,http://150.138.8.143/00/SNM/CHANNEL00000217/index.m3u8
潍坊科教文化,http://150.138.8.143/00/SNM/CHANNEL00000218/index.m3u8
潍坊高新区,http://150.138.8.143/00/SNM/CHANNEL00001106/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁生活,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
济宁高新,http://150.138.8.143/00/SNM/CHANNEL00001101/index.m3u8
淄博新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
淄博新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博影视,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
淄博民生,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博文旅,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城民生,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
威海新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000274/index.m3u8
威海海洋生活,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
德州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州经济生活,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
东营新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
日照新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照公共,http://150.138.8.143/00/SNM/CHANNEL00001100/index.m3u8
日照科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
滨州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州民生,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
菏泽-1,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽-2,http://150.138.8.143/00/SNM/CHANNEL00000234/index.m3u8
历城综合,http://150.138.8.143/00/SNM/CHANNEL00001105/index.m3u8
济阳综合,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
长清综合,http://150.138.8.143/00/SNM/CHANNEL00001018/index.m3u8
平阴综合,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8
商河综合,http://150.138.8.143/00/SNM/CHANNEL00001008/index.m3u8
黄岛综合,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
崂山综合,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
胶州综合,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
平度综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
张店综合,http://150.138.8.143/00/SNM/CHANNEL00001012/index.m3u8
淄川新闻,http://150.138.8.143/00/SNM/CHANNEL00001007/index.m3u8
周村新闻,http://150.138.8.143/00/SNM/CHANNEL00001019/index.m3u8
桓台综合,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
高青综合,http://150.138.8.143/00/SNM/CHANNEL00001023/index.m3u8
沂源综合,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
广饶综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
龙口综合,http://150.138.8.143/00/SNM/CHANNEL00001005/index.m3u8
招远综合,http://150.138.8.143/00/SNM/CHANNEL00001113/index.m3u8
蓬莱综合,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
海阳综合,http://150.138.8.143/00/SNM/CHANNEL00001091/index.m3u8
海阳综艺,http://150.138.8.143/00/SNM/CHANNEL00001092/index.m3u8
长岛综合,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
牟平综合,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8
青州综合,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
青州文化旅游,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
诸城综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
寿光综合,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
寿光综合,http://150.138.8.143/00/SNM/CHANNEL00000702/index.m3u8
寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
安丘综合,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8
高密综合,http://150.138.8.143/00/SNM/CHANNEL00001089/index.m3u8
昌邑综合,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8
昌乐综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
曲阜综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
邹城综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
鱼台综合,http://150.138.8.143/00/SNM/CHANNEL00001107/index.m3u8
鱼台生活,http://150.138.8.143/00/SNM/CHANNEL00001108/index.m3u8
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
汶上综合,http://150.138.8.143/00/SNM/CHANNEL00001116/index.m3u8
梁山综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
任城综合,http://150.138.8.143/00/SNM/CHANNEL00001111/index.m3u8
任城生活,http://150.138.8.143/00/SNM/CHANNEL00001112/index.m3u8
新泰综合,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
新泰乡村,http://150.138.8.143/00/SNM/CHANNEL00001066/index.m3u8
肥城综合,http://150.138.8.143/00/SNM/CHANNEL00001039/index.m3u8
宁阳综合,http://150.138.8.143/00/SNM/CHANNEL00001071/index.m3u8
宁阳生活,http://150.138.8.143/00/SNM/CHANNEL00001072/index.m3u8
东平综合,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
岱岳综合,http://150.138.8.143/00/SNM/CHANNEL00001013/index.m3u8
泰山综合,http://150.138.8.143/00/SNM/CHANNEL00001114/index.m3u8
荣成综合,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
乳山综合,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
岚山综合,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8
莒县综合,http://150.138.8.143/00/SNM/CHANNEL00001014/index.m3u8
五莲新闻,http://150.138.8.143/00/SNM/CHANNEL00001068/index.m3u8
河东综合,http://150.138.8.143/00/SNM/CHANNEL00001109/index.m3u8
兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
兰陵公共,http://150.138.8.143/00/SNM/CHANNEL00001095/index.m3u8
沂水综合,http://150.138.8.143/00/SNM/CHANNEL00001098/index.m3u8
沂水生活,http://150.138.8.143/00/SNM/CHANNEL00001099/index.m3u8
莒南综合,http://150.138.8.143/00/SNM/CHANNEL00001011/index.m3u8
蒙阴综合,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
临沭综合,http://150.138.8.143/00/SNM/CHANNEL00001094/index.m3u8
陵城综合,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8
禹城综合,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
临邑综合,http://150.138.8.143/00/SNM/CHANNEL00001104/index.m3u8
平原综合,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
夏津综合,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
武城综合,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
武城综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
宁津综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
齐河综合,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
东昌综合,http://150.138.8.143/00/SNM/CHANNEL00001119/index.m3u8
临清综合,http://150.138.8.143/00/SNM/CHANNEL00001103/index.m3u8
莘县综合,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
茌平综合,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
东阿综合,http://150.138.8.143/00/SNM/CHANNEL00001093/index.m3u8
冠县综合,http://150.138.8.143/00/SNM/CHANNEL00001040/index.m3u8
惠民综合,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
阳信综合,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
无棣综合,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
沾化综合,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
邹平综合,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
定陶综合,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
巨野新闻,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
郓城综合,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
鄄城综合,http://150.138.8.143/00/SNM/CHANNEL00001084/index.m3u8
东明综合,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
临朐综合,http://150.138.8.143/00/SNM/CHANNEL00001085/index.m3u8
央广购物,http://150.138.8.143/00/SNM/CHANNEL00000704/index.m3u8
已停用,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
已停用,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
已停用,http://150.138.8.143/00/SNM/CHANNEL00000654/index.m3u8
已停用,http://150.138.8.143/00/SNM/CHANNEL00000645/index.m3u8
已停用,http://150.138.8.143/00/SNM/CHANNEL00000060/index.m3u8
已停用,http://150.138.8.143/00/SNM/CHANNEL00004004/index.m3u8
rtsp://150.138.8.132/PLTV/88888888/224/3221227316/527738296.smil
rtsp://150.138.8.132/PLTV/88888888/224/3221227453/527738500.smil
rtsp://150.138.8.132/PLTV/88888888/224/3221227446/527738562.smil
rtsp://150.138.8.132/PLTV/88888888/224/3221227331/527738511.smil
rtsp://150.138.8.132/PLTV/88888888/224/3221227442/527218192.smil
rtsp://150.138.8.132/PLTV/88888888/224/3221227335/527738522.smil
# Generated by IPTV Scanner Editor Pro
# Saved at: 2026-01-28 23:58:27
# GitHub: https://github.com/your-repo/IPTV-Scanner-Editor-Pro
